agent,participant,round,attempt_id,agent_step,attempt_recolor_step,state_before,region,old_color,new_color,source_step,is_final_attempt
human,FlorenceYeoh,6,1,69,6,0 2 0 3 1 1 0 3 3 3 2 2 0 1 1 2 1 0 3 1 1 1 0 3 0 2 3 2 0 1 0 2 3 2 2 2 1 1 1 0 2 1 0 1 2,21,1,2,75,True
human,FlorenceYeoh,6,1,70,7,0 2 0 3 1 1 0 3 3 3 2 2 0 1 1 2 1 0 3 1 1 2 0 3 0 2 3 2 0 1 0 2 3 2 2 2 1 1 1 0 2 1 0 1 2,5,1,0,76,True
human,FlorenceYeoh,6,1,71,8,0 2 0 3 1 0 0 3 3 3 2 2 0 1 1 2 1 0 3 1 1 2 0 3 0 2 3 2 0 1 0 2 3 2 2 2 1 1 1 0 2 1 0 1 2,39,0,3,77,True
human,FlorenceYeoh,6,1,72,9,0 2 0 3 1 0 0 3 3 3 2 2 0 1 1 2 1 0 3 1 1 2 0 3 0 2 3 2 0 1 0 2 3 2 2 2 1 1 1 3 2 1 0 1 2,19,1,3,78,True
human,FlorenceYeoh,6,1,73,10,0 2 0 3 1 0 0 3 3 3 2 2 0 1 1 2 1 0 3 3 1 2 0 3 0 2 3 2 0 1 0 2 3 2 2 2 1 1 1 3 2 1 0 1 2,30,0,3,79,True
human,FlorenceYeoh,6,1,74,11,0 2 0 3 1 0 0 3 3 3 2 2 0 1 1 2 1 0 3 3 1 2 0 3 0 2 3 2 0 1 3 2 3 2 2 2 1 1 1 3 2 1 0 1 2,19,3,1,80,True
human,FlorenceYeoh,6,1,75,12,0 2 0 3 1 0 0 3 3 3 2 2 0 1 1 2 1 0 3 1 1 2 0 3 0 2 3 2 0 1 3 2 3 2 2 2 1 1 1 3 2 1 0 1 2,31,2,3,81,True
human,FlorenceYeoh,6,1,76,13,0 2 0 3 1 0 0 3 3 3 2 2 0 1 1 2 1 0 3 1 1 2 0 3 0 2 3 2 0 1 3 3 3 2 2 2 1 1 1 3 2 1 0 1 2,32,3,1,82,True
human,FlorenceYeoh,6,1,77,14,0 2 0 3 1 0 0 3 3 3 2 2 0 1 1 2 1 0 3 1 1 2 0 3 0 2 3 2 0 1 3 3 1 2 2 2 1 1 1 3 2 1 0 1 2,33,2,1,83,True
human,FlorenceYeoh,6,1,78,15,0 2 0 3 1 0 0 3 3 3 2 2 0 1 1 2 1 0 3 1 1 2 0 3 0 2 3 2 0 1 3 3 1 1 2 2 1 1 1 3 2 1 0 1 2,33,1,0,84,True
human,FlorenceYeoh,6,1,79,16,0 2 0 3 1 0 0 3 3 3 2 2 0 1 1 2 1 0 3 1 1 2 0 3 0 2 3 2 0 1 3 3 1 0 2 2 1 1 1 3 2 1 0 1 2,24,0,3,85,True
human,FlorenceYeoh,7,1,80,1,0 0 0 0 3 3 3 1 3 1 0 0 1 3 3 2 1 0 1 2 2 3 1 2 3 2 0 2 1 1 2 1 3 2 0 0 1 3 3 1 2 3 3 3 3,21,3,0,87,True
human,FlorenceYeoh,7,1,81,2,0 0 0 0 3 3 3 1 3 1 0 0 1 3 3 2 1 0 1 2 2 0 1 2 3 2 0 2 1 1 2 1 3 2 0 0 1 3 3 1 2 3 3 3 3,20,2,1,88,True
human,FlorenceYeoh,7,1,82,3,0 0 0 0 3 3 3 1 3 1 0 0 1 3 3 2 1 0 1 2 1 0 1 2 3 2 0 2 1 1 2 1 3 2 0 0 1 3 3 1 2 3 3 3 3,17,0,1,89,True
human,FlorenceYeoh,7,1,83,4,0 0 0 0 3 3 3 1 3 1 0 0 1 3 3 2 1 1 1 2 1 0 1 2 3 2 0 2 1 1 2 1 3 2 0 0 1 3 3 1 2 3 3 3 3,29,1,3,90,True
human,FlorenceYeoh,7,1,84,5,0 0 0 0 3 3 3 1 3 1 0 0 1 3 3 2 1 1 1 2 1 0 1 2 3 2 0 2 1 3 2 1 3 2 0 0 1 3 3 1 2 3 3 3 3,43,3,0,91,True
human,FlorenceYeoh,7,1,85,6,0 0 0 0 3 3 3 1 3 1 0 0 1 3 3 2 1 1 1 2 1 0 1 2 3 2 0 2 1 3 2 1 3 2 0 0 1 3 3 1 2 3 3 0 3,21,0,3,92,True
human,FlorenceYeoh,8,1,86,1,2 1 3 3 3 3 2 0 3 3 0 2 3 1 0 1 1 0 3 3 0 0 2 3 3 2 1 0 3 2 2 0 3 0 0 1 1 1 2 1 2 0 0 1 3,9,3,1,94,True
human,FlorenceYeoh,8,1,87,2,2 1 3 3 3 3 2 0 3 1 0 2 3 1 0 1 1 0 3 3 0 0 2 3 3 2 1 0 3 2 2 0 3 0 0 1 1 1 2 1 2 0 0 1 3,31,0,1,95,True
human,FlorenceYeoh,8,1,88,3,2 1 3 3 3 3 2 0 3 1 0 2 3 1 0 1 1 0 3 3 0 0 2 3 3 2 1 0 3 2 2 1 3 0 0 1 1 1 2 1 2 0 0 1 3,26,1,0,96,True
human,FlorenceYeoh,8,1,89,4,2 1 3 3 3 3 2 0 3 1 0 2 3 1 0 1 1 0 3 3 0 0 2 3 3 2 0 0 3 2 2 1 3 0 0 1 1 1 2 1 2 0 0 1 3,41,0,2,97,True
human,FlorenceYeoh,8,1,90,5,2 1 3 3 3 3 2 0 3 1 0 2 3 1 0 1 1 0 3 3 0 0 2 3 3 2 0 0 3 2 2 1 3 0 0 1 1 1 2 1 2 2 0 1 3,22,2,3,98,True
human,FlorenceYeoh,8,1,91,6,2 1 3 3 3 3 2 0 3 1 0 2 3 1 0 1 1 0 3 3 0 0 3 3 3 2 0 0 3 2 2 1 3 0 0 1 1 1 2 1 2 2 0 1 3,2,3,2,99,True
human,FlorenceYeoh,8,1,92,7,2 1 2 3 3 3 2 0 3 1 0 2 3 1 0 1 1 0 3 3 0 0 3 3 3 2 0 0 3 2 2 1 3 0 0 1 1 1 2 1 2 2 0 1 3,17,0,1,100,True
